phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Gonatus_fabricii,3,0,0,3,1,0.888,0.861,0.526,0.861,-0.362,0.782,0.16,1.603,1.997,NA,NA,-0.225,1.073,1.061,0.806,0.781,0.589,1.681,1.553,0.551,CNS.2,NA,ML.2,NA
Gonatus_fabricii,3,0,0,3,1,0.888,0.861,0.526,0.861,-0.362,0.782,0.16,1.603,1.997,NA,NA,-0.225,1.073,1.061,0.806,0.781,0.589,1.681,1.553,0.551,CNS.3,NA,ML.3,NA
Grimalditeuthis_bonplandi,4,0,0,1,0,0.632,0.978,0.313,0.745,0.575,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,0.236,-0.986,-0.862,NA,NA,-0.458,-0.21,CNS.1,-0.856,ML.1,-0.14
Grimalditeuthis_bonplandi,4,0,0,1,0,0.632,0.978,0.313,0.745,0.575,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,0.236,-0.986,-0.862,NA,NA,-0.458,-0.21,CNS.2,NA,ML.2,NA
Grimalditeuthis_bonplandi,4,0,0,1,0,0.632,0.978,0.313,0.745,0.575,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,0.236,-0.986,-0.862,NA,NA,-0.458,-0.21,CNS.3,NA,ML.3,NA
Haliphron_atlanticus,3,1,1,1,0,1.436,-1.227,0.8,1.362,1.052,NA,NA,NA,NA,-0.575,-0.317,-0.225,-0.127,0.701,0.286,0.285,NA,NA,0.216,0.273,CNS.1,0.424,ML.1,NA
Haliphron_atlanticus,3,1,1,1,0,1.436,-1.227,0.8,1.362,1.052,NA,NA,NA,NA,-0.575,-0.317,-0.225,-0.127,0.701,0.286,0.285,NA,NA,0.216,0.273,CNS.2,NA,ML.2,NA
Haliphron_atlanticus,3,1,1,1,0,1.436,-1.227,0.8,1.362,1.052,NA,NA,NA,NA,-0.575,-0.317,-0.225,-0.127,0.701,0.286,0.285,NA,NA,0.216,0.273,CNS.3,NA,ML.3,NA
Hapalochlaena_fasciata,1,2,1,1,0,-2.47,-1.227,-1.037,-2.457,-1.61,NA,NA,-1.496,-0.873,0.515,-1.263,-0.957,-0.828,NA,-0.552,-0.325,NA,-1.441,-2.269,0.385,CNS.1,-0.359,ML.1,-0.884
Hapalochlaena_fasciata,1,2,1,1,0,-2.47,-1.227,-1.037,-2.457,-1.61,NA,NA,-1.496,-0.873,0.515,-1.263,-0.957,-0.828,NA,-0.552,-0.325,NA,-1.441,-2.269,0.385,CNS.2,-0.953,ML.2,-0.928
